都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
092088,0107000070,栃木県,小山市,小山第一小第二学童保育クラブ,オヤマダイイチショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市宮本町1-3-1,,36.313870,139.798505,,,(0285)24-1122,,,,,,40,小学校１年生,月火水木金,13:00,19:00,土曜・日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000071,栃木県,小山市,小山第二小学童保育クラブ,オヤマダイニショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市宮本町2-9-20,,36.310144,139.799290,,,(0285)22-6621,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000072,栃木県,小山市,城山さくら学童保育クラブ,シロヤマサクラガクドウホイククラブ,放課後児童クラブ,栃木県小山市中央町3-1851-1-2,ロブレビル５階,36.312976,139.805441,,,(0285)23-7068,,,,,,20,小学校１年生,月火水木金土,13:00,21:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000073,栃木県,小山市,小山第三小学童保育クラブ,オヤマダイサンショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市神鳥谷4-7-12,,36.297245,139.789621,,,(0285)24-7313,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000074,栃木県,小山市,あけぼの学童保育クラブ,アケボノガクドウホイククラブ,放課後児童クラブ,栃木県小山市神鳥谷4-6-27,,36.297655,139.789831,,,(0285)23-2200,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000075,栃木県,小山市,栗の実学童保育クラブ,クリノミガクドウホイククラブ,放課後児童クラブ,栃木県小山市神鳥谷1-5-11,,36.302957,139.792522,,,(0285)25-6906,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000076,栃木県,小山市,若木小学童保育クラブ,ワカギショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市若木町2-6-44,,36.326864,139.804914,,,(0285)22-4170,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000077,栃木県,小山市,若木小第二学童保育クラブ,ワカギショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市若木町2-6-44,,36.326016,139.806426,,,(0285)25-7363,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000078,栃木県,小山市,小山城南小学童保育クラブ,オヤマジョウナンショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市西城南5-32-24,,36.292739,139.797814,,,(0285)28-7094,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000079,栃木県,小山市,小山城南小第二学童保育クラブ,オヤマジョウナンショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市西城南5-30-6,,36.293171,139.799333,,,(0285)27-8772,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000080,栃木県,小山市,小山城南小ほがらか学童保育クラブ,オヤマジョウナンショウホガラカガクドウホイククラブ,放課後児童クラブ,栃木県小山市西城南5-31-5,,36.292549,139.798997,,,(0285)39-8381,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000081,栃木県,小山市,東城南小学童保育クラブ,ヒガシジョウナンショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市東城南3-9-2,,36.293539,139.814509,,,(0285)28-8322,,,,,,80,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000082,栃木県,小山市,小山幼稚園学童クラブ,オヤマヨウチエンガクドウクラブ,放課後児童クラブ,栃木県小山市東城南5-23-7　,,36.289074,139.807413,,,(0285)27-3534,,,,,,35,小学校１年生,月火水木金,13:00,18:00,土曜・日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000083,栃木県,小山市,学童保育クラブとまと,ガクドウホイククラブトマト,放課後児童クラブ,栃木県小山市東城南3-5-3,,36.293605,139.815985,,,(0285)37-8682,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000084,栃木県,小山市,小山城東小学童保育クラブ,オヤマジョウトウショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市城東6-19-31,,36.309654,139.820238,,,(0285)23-8536,,,,,,40,小学校１年生,月火水木金土,13:00,19:15,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000085,栃木県,小山市,小山城東小第二学童保育クラブ,オヤマジョウトウショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市土塔253-87,,36.303894,139.822817,,,(0285)29-0703,,,,,,40,小学校１年生,月火水木金土,13:00,18:45,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000086,栃木県,小山市,小山城東小第三学童保育クラブ,オヤマジョウトウショウダイサンガクドウホイククラブ,放課後児童クラブ,栃木県小山市城東1-16-1,,36.306801,139.815259,,,(0285)23-1870,,,,,,40,小学校１年生,月火水木金土,13:00,18:45,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000087,栃木県,小山市,旭小すみれ学童保育クラブ,アサヒショウスミレガクドウホイククラブ,放課後児童クラブ,栃木県小山市駅南町3-22-3　,,36.303631,139.813490,,,(0285)28-2211,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000088,栃木県,小山市,旭小すみれ学童保育クラブ第二,アサヒショウスミレガクドウホイククラブダイニ,放課後児童クラブ,栃木県小山市駅南町3-22-9,,36.303636,139.813305,,,(0285)27-5429,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000089,栃木県,小山市,あさひ学童クラブ,アサヒガクドウクラブ,放課後児童クラブ,栃木県小山市駅南町4-2-20,,36.302759,139.809843,,,(0285)27-0983,,,,,,35,小学校１年生,月火水木金土,13:00,20:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000090,栃木県,小山市,小山城北小学童保育クラブ,オヤマジョウホクショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市城北3-18-23,,36.325889,139.823832,,,(0285)25-5246,,,,,,35,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000091,栃木県,小山市,小山城北小第二学童保育クラブ,オヤマジョウホクショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市城北3-18-23,,36.325867,139.823945,,,(0285)21-1471,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
